Temperatura_C,Dia_Semana,Hora,Humedad_%,Demanda_MW
24.5,0,8,47.0,84.3
21.3,1,6,61.0,93.8
25.2,2,12,76.0,87.8
29.6,3,20,78.0,127.7
20.8,4,17,40.0,128.4
22.1,5,14,55.0,90.5
23.5,6,10,60.0,110.2
19.7,0,22,65.0,99.3
18.9,1,9,50.0,85.0
26.3,2,16,70.0,120.1
27.5,3,7,45.0,88.4
22.8,4,15,58.0,102.5
24.0,5,11,63.0,95.6
21.5,6,19,72.0,119.3
28.2,0,13,49.0,107.2
23.1,1,21,66.0,111.5
25.7,2,18,59.0,98.6
20.4,3,5,52.0,89.7
19.9,4,23,68.0,116.0
26.8,5,12,71.0,123.4
22.5,6,8,60.0,101.2
24.7,0,16,57.0,94.8
27.1,1,14,62.0,108.6
23.9,2,10,64.0,97.5
21.8,3,9,53.0,92.1
28.5,4,18,69.0,121.0
26.0,5,20,73.0,115.3
25.4,6,13,61.0,109.4
20.2,0,6,54.0,87.9
29.0,1,22,67.0,125.6
23.3,2,7,56.0,103.5
24.9,3,15,59.0,99.2
27.8,4,11,65.0,117.8
22.0,5,17,48.0,95.4
21.2,6,12,51.0,90.7
26.5,0,19,70.0,122.3
25.9,1,21,74.0,118.5
23.6,2,14,62.0,106.2
20.7,3,8,55.0,88.9
28.8,4,20,68.0,124.0
22.4,5,9,60.0,97.8
24.1,6,16,63.0,100.5
27.3,0,13,67.0,113.6
21.7,1,10,50.0,91.7
23.8,2,18,58.0,105.4
26.9,3,12,71.0,119.9
25.5,4,15,69.0,110.8
22.6,5,11,54.0,96.3
28.0,6,22,72.0,126.2
24.3,0,17,61.0,102.7
